name,likes,time,servings,link,calories,fat,carbs,fiber,sugar,protein,no_ing,contains_soy,contains_glutten,fruits,vegetables,grains,dairy_alternatives,herbs_and_spices,sweeteners,oils,condiments_and_sauces,grains_and_cereals
"Dark Chocolate Chip Banana ""Ice Cream""",0.86,30.0,4,https://tasty.co/recipe/dark-chocolate-chip-banana-ice-cream,201.0,7.0,41.0,4.0,26.0,0,4,0,0,1,0,0,0,0,0,0,0,0
Loaded Breakfast Sweet Potato,0.93,30.0,1,https://tasty.co/recipe/loaded-breakfast-sweet-potato,474.0,24.0,55.0,8.0,22.0,0,6,0,0,1,0,0,0,0,0,0,0,0
Spicy Pita Chips,0.94,30.0,2,https://tasty.co/recipe/spicy-pita-chips,104.0,4.0,14.0,0.0,0.0,0,7,0,0,0,0,0,0,1,0,1,0,1
Veggie Sushi 4 Ways,0.94,30.0,2,https://tasty.co/recipe/veggie-sushi-4-ways,206.54,7.31,30.69,0.0,0.0,1,31,1,0,1,1,1,0,1,1,1,1,0
Classic Hummus By Alon Shaya,0.93,30.0,4,https://tasty.co/recipe/classic-hummus-as-made-by-alon-shaya,309.0,13.0,36.0,7.0,6.0,1,15,0,0,0,0,0,0,1,0,1,0,0
Vegan Butternut Squash Al Pastor Tacos,0.93,71.0,14,https://tasty.co/recipe/vegan-butternut-squash-al-pastor-tacos,132.0,3.0,25.0,4.0,5.0,0,20,0,0,1,1,0,0,1,0,1,1,1
Strawberry Fruit Rollers,0.85,30.0,12,https://tasty.co/recipe/strawberry-fruit-rollers,20.0,0.0,5.0,0.0,4.0,0,2,0,0,1,0,0,0,0,0,0,0,0
Spicy Breakfast Potatoes,0.94,61.0,4,https://tasty.co/recipe/spicy-breakfast-potatoes,203.0,3.0,40.0,3.0,1.0,0,5,0,0,0,0,0,0,1,0,1,0,0
Dairy-Free Chocolate Coconut Cream Pie,0.89,30.0,10,https://tasty.co/recipe/dairy-free-chocolate-coconut-cream-pie,609.0,50.0,38.0,10.0,32.0,0,16,0,0,0,0,1,1,0,1,1,0,0
Ice Zombie,0.88,30.0,1,https://tasty.co/recipe/ice-zombie,1084.0,74.0,72.0,9.0,51.0,0,8,0,0,1,0,0,1,0,1,0,0,0
Roasted Red Pepper Hummus,0.98,30.0,8,https://tasty.co/recipe/roasted-red-pepper-hummus,118.0,4.0,16.0,4.0,3.0,1,9,0,0,0,1,0,0,1,0,1,0,0
1-Minute Noodles,0.92,30.0,4,https://tasty.co/recipe/1-minute-noodles,686.0,38.0,74.0,3.0,7.0,1,9,1,0,0,0,0,0,1,1,1,1,0
Fresh Fruit Sushi,0.79,30.0,20,https://tasty.co/recipe/fresh-fruit-sushi,74.0,2.0,13.0,0.0,3.0,0,12,0,0,1,0,1,1,0,1,0,0,0
Giant Raindrop Cake,0.58,30.0,10,https://tasty.co/recipe/giant-raindrop-cake,111.0,0.0,28.0,0.0,28.0,0,6,1,0,0,0,1,0,0,1,0,0,0
Spicy Masala Veggie Burgers,0.9,30.0,6,https://tasty.co/recipe/spicy-masala-veggie-burgers,139.0,3.0,24.0,4.0,3.0,1,15,0,0,0,1,1,0,1,0,1,1,0
Avocado Hummus,0.96,30.0,4,https://tasty.co/recipe/avocado-hummus,244.0,10.0,30.0,10.0,4.0,1,11,0,0,0,0,0,0,1,0,1,0,0
Vegan Roasted Red Pepper Cream Sauce,0.91,30.0,4,https://tasty.co/recipe/vegan-roasted-red-pepper-cream-sauce,123.0,7.0,14.0,5.0,4.0,0,9,0,0,0,1,0,0,1,0,1,0,0
Hasselback Butternut Squash,0.93,30.0,8,https://tasty.co/recipe/hasselback-butternut-squash,117.0,3.0,22.0,3.0,7.0,1,12,0,0,1,0,0,0,0,1,1,1,0
Tofu “Egg” Breakfast Sandwich,0.98,30.0,2,https://tasty.co/recipe/tofu-egg-breakfast-sandwich,206.54,7.31,30.69,0.0,0.0,1,11,1,0,0,1,0,0,1,0,1,1,0
Air Fryer Sweet Potato Chips,0.86,40.0,2,https://tasty.co/recipe/air-fryer-sweet-potato-chips,103.0,2.0,19.0,1.0,7.0,0,5,0,0,0,0,0,0,1,0,1,0,0
Vegan Chocolate Chip Cookie Ice Cream Sandwiches,0.88,30.0,5,https://tasty.co/recipe/vegan-chocolate-chip-cookie-ice-cream-sandwiches,1162.0,74.0,116.0,5.0,85.0,0,11,0,1,0,0,1,1,0,1,1,0,0
“Ranch” Roasted Chickpeas,0.8,30.0,4,https://tasty.co/recipe/ranch-roasted-chickpeas,183.0,3.0,29.0,8.0,5.0,1,8,0,0,0,1,0,0,1,0,1,0,0
Roasted Veggie Salad With Avocado Dressing,0.95,30.0,4,https://tasty.co/recipe/roasted-veggie-salad-with-avocado-dressing,230.0,13.0,30.0,10.0,6.0,0,14,0,0,0,1,0,0,1,0,1,0,0
Dairy-Free Avocado Key Lime Pie,0.88,30.0,8,https://tasty.co/recipe/dairy-free-avocado-key-lime-pie,630.0,49.0,43.0,9.0,25.0,0,17,0,0,0,0,0,1,0,1,1,0,0
Easy Chimichurri Sauce,0.97,30.0,4,https://tasty.co/recipe/easy-chimichurri-sauce,56.0,3.0,5.0,0.0,2.0,0,9,0,0,0,1,0,0,1,0,1,1,0
Extra Crispy Spicy Fried Cauliflower,0.95,30.0,4,https://tasty.co/recipe/extra-crispy-spicy-fried-cauliflower,435.0,9.0,74.0,8.0,7.0,0,16,1,1,1,1,1,1,1,0,1,1,0
Power Protein Brownies,0.74,30.0,12,https://tasty.co/recipe/power-protein-brownies,283.0,18.0,26.0,8.0,8.0,1,9,0,0,1,0,1,0,0,0,0,0,0
Bánh Mì Bowl With Crispy Tofu,0.93,30.0,2,https://tasty.co/recipe/banh-mi-bowl-with-crispy-tofu,323.0,14.0,28.0,5.0,18.0,1,17,1,0,0,1,1,0,1,0,1,1,0
Anti-Inflammatory Aid Wellness Shot,0.91,30.0,4,https://tasty.co/recipe/anti-inflammatory-aid-wellness-shot,47.0,0.0,12.0,2.0,8.0,0,5,0,0,1,0,0,0,1,0,0,0,0
2½ Hour Tomato Sauce,0.95,30.0,6,https://tasty.co/recipe/2-1-2-hour-tomato-sauce,93.0,3.0,16.0,4.0,9.0,0,11,0,0,0,1,0,0,1,1,1,0,0
Healthy ABC Pudding,0.86,20.0,2,https://tasty.co/recipe/healthy-abc-pudding,324.0,13.0,56.0,18.0,25.0,0,13,0,0,1,0,0,0,0,1,0,0,1
Watermelon Salad With Spinach And Mango,0.92,30.0,6,https://tasty.co/recipe/watermelon-salad-with-spinach-and-mango,200.0,6.0,35.0,3.0,28.0,0,10,0,0,1,1,0,0,0,0,1,0,0
Vegan Chocolate & Peanut Butter Fudge,0.89,30.0,25,https://tasty.co/recipe/vegan-chocolate-peanut-butter-fudge,132.0,11.0,6.0,0.0,5.0,0,5,0,0,0,0,0,0,0,1,0,0,0
Best Spice Rub,0.97,30.0,1,https://tasty.co/recipe/best-spice-rub,235.0,6.0,43.0,10.0,19.0,0,9,0,0,0,0,0,0,1,1,0,1,0
Fiesta Tofu Scramble,0.94,30.0,4,https://tasty.co/recipe/fiesta-tofu-scramble,138.0,9.0,7.0,3.0,2.0,1,13,1,0,0,1,0,0,1,0,1,0,0
The Best Ever Vegan Burger,0.85,30.0,4,https://tasty.co/recipe/the-best-ever-vegan-burger,674.0,28.0,76.0,8.0,12.0,1,24,1,1,0,1,1,0,1,0,1,1,0
Vegan Enchiladas,0.92,30.0,4,https://tasty.co/recipe/vegan-enchiladas,321.0,16.0,41.0,7.0,5.0,1,23,0,0,0,1,1,0,1,0,1,0,1
Vegetarian Gumbo,0.8,30.0,5,https://tasty.co/recipe/vegetarian-gumbo,429.0,7.0,70.0,16.0,7.0,1,25,1,1,0,1,1,0,1,0,1,1,1
Hearty Protein-Packed Chili,0.98,30.0,8,https://tasty.co/recipe/hearty-protein-packed-chili,200.0,3.0,38.0,7.0,8.0,1,19,0,0,0,1,1,0,1,0,1,0,1
Homemade Apple Cider,0.79,30.0,6,https://tasty.co/recipe/homemade-apple-cider,173.0,0.0,46.0,8.0,32.0,0,7,0,0,1,0,0,0,1,0,0,0,0
Tempeh Bacon,0.94,30.0,2,https://tasty.co/recipe/tempeh-bacon,172.0,10.0,10.0,0.0,4.0,1,7,1,0,0,0,0,0,1,1,1,1,0
Pasta Alla Norma,0.92,30.0,6,https://tasty.co/recipe/pasta-alla-norma,446.0,6.0,72.0,9.0,5.0,0,9,0,1,0,1,0,0,1,0,1,0,0
Creamy Hot Cocoa,0.73,30.0,4,https://tasty.co/recipe/creamy-hot-cocoa,255.0,13.0,43.0,3.0,31.0,0,6,0,0,0,0,0,1,0,1,0,0,0
Vegan Aquafaba Chocolate Ice Cream,0.83,46.0,12,https://tasty.co/recipe/vegan-aquafaba-chocolate-ice-cream,138.0,8.0,16.0,1.0,13.0,1,7,0,0,0,0,0,1,0,1,1,0,0
Cacao Chocolate Chip Nice Cream,0.88,30.0,6,https://tasty.co/recipe/cacao-chocolate-chip-nice-cream,95.0,1.0,22.0,3.0,11.0,0,5,0,0,1,0,0,1,0,0,0,0,0
Vegan Crab Cakes,0.91,30.0,6,https://tasty.co/recipe/vegan-crab-cakes,466.0,27.0,41.0,11.0,5.0,1,13,0,0,0,0,0,0,0,0,0,1,1
Miso Soup,0.95,30.0,4,https://tasty.co/recipe/miso-soup,128.0,3.0,16.0,1.0,2.0,1,5,1,0,0,1,0,0,0,0,0,0,0
Vegan Red Velvet Cupcakes With Cream Cheese Frosting,0.91,30.0,12,https://tasty.co/recipe/vegan-red-velvet-cupcakes-with-cream-cheese-frosting,385.0,19.0,49.0,2.0,36.0,0,18,0,1,1,0,1,1,0,1,1,1,0
Healthier Mac ‘n’ Cheese,0.81,30.0,4,https://tasty.co/recipe/healthier-mac-n-cheese,590.0,6.0,109.0,4.0,8.0,0,11,0,1,0,1,0,0,1,0,0,0,0
Homemade Pickles 3-ways,0.98,30.0,24,https://tasty.co/recipe/homemade-pickles-3-ways,206.54,7.31,30.69,0.0,0.0,0,32,0,0,1,1,0,0,1,1,0,1,0
The Best Vegan Vanilla Ice Cream,0.88,30.0,8,https://tasty.co/recipe/the-best-vegan-vanilla-ice-cream,462.0,36.0,30.0,1.0,21.0,0,10,0,0,0,0,0,1,0,1,1,0,0
Diy Ketchup Ice Pops,0.22,18.0,6,https://tasty.co/recipe/diy-ketchup-ice-pops,18.0,0.0,4.0,0.0,2.0,0,5,0,0,0,1,0,0,0,0,0,1,0
Microwaved Veggie Rice Bowl,0.88,30.0,1,https://tasty.co/recipe/microwaved-veggie-rice-bowl,529.0,12.0,96.0,7.0,1.0,1,9,0,0,0,1,1,0,1,0,1,0,0
Vegan Mint Cookies,0.91,30.0,5,https://tasty.co/recipe/vegan-mint-cookies,279.0,21.0,24.0,46.0,11.0,0,4,0,0,0,0,0,0,0,0,0,0,1
Garden Vegetable Vegan Quiche,0.94,112.0,8,https://tasty.co/recipe/garden-vegetable-vegan-quiche,268.0,15.0,26.0,3.0,2.0,1,20,1,1,0,1,1,0,1,0,1,0,0
Fresh Corn Salad,0.94,80.0,2,https://tasty.co/recipe/fresh-corn-salad,315.0,16.0,42.0,9.0,12.0,0,9,0,0,0,1,0,0,0,1,1,0,0
Cool Ranch Popcorn,0.87,40.0,4,https://tasty.co/recipe/cool-ranch-popcorn,73.0,5.0,5.0,27.0,0.0,0,8,0,0,0,1,0,0,1,0,1,0,0
Scallion Pizza Dough Pancake,0.86,30.0,4,https://tasty.co/recipe/scallion-pizza-dough-pancake,91.0,6.0,6.0,0.0,5.0,0,12,1,0,0,0,1,0,1,1,1,1,0
Energy-Boosting Buddha Bowl,0.92,30.0,4,https://tasty.co/recipe/energy-boosting-buddha-bowl,919.0,26.0,138.0,20.0,9.0,1,22,0,0,1,1,1,0,1,1,1,0,0
Cashew Coconut Bars,0.95,30.0,12,https://tasty.co/recipe/cashew-coconut-bars,142.0,8.0,15.0,1.0,9.0,0,6,0,0,0,0,0,1,0,0,0,0,0
"Strawberry Banana Chocolate Hazelnut Toaster ""Quesadilla""",0.92,30.0,1,https://tasty.co/recipe/strawberry-banana-chocolate-hazelnut-toaster-quesadilla,358.0,10.0,61.0,5.0,27.0,0,4,0,0,1,0,1,0,0,0,0,0,0
Watermelon Smoothie Bowl,0.87,30.0,1,https://tasty.co/recipe/watermelon-smoothie-bowl,236.0,1.0,58.0,9.0,38.0,0,8,0,0,1,0,0,0,0,0,0,0,0
Eggplant Puree,0.94,30.0,4,https://tasty.co/recipe/eggplant-puree,75.0,3.0,12.0,3.0,4.0,0,8,0,0,0,1,0,0,1,0,1,0,0
Cauliflower Soup,0.86,30.0,2,https://tasty.co/recipe/cauliflower-soup,125.0,0.0,26.0,12.0,12.0,0,4,0,0,0,0,0,0,0,0,0,0,0
Birthday Cake Dip,0.7,30.0,4,https://tasty.co/recipe/birthday-cake-dip,431.0,20.0,50.0,10.0,24.0,1,7,0,0,0,0,0,0,0,0,0,0,0
Strawberry Thyme Ice Pops,0.9,21.0,6,https://tasty.co/recipe/strawberry-thyme-ice-pops,95.0,0.0,24.0,1.0,21.0,0,4,0,0,1,0,0,0,1,1,0,0,0
Nourishing Rainbow Protein Pot,0.86,30.0,2,https://tasty.co/recipe/nourishing-rainbow-protein-pot,462.0,19.0,57.0,10.0,15.0,1,19,1,0,1,1,1,0,1,1,1,1,0
Freezer Prep Hearty Veggie Soup,0.9,30.0,4,https://tasty.co/recipe/freezer-prep-hearty-veggie-soup,146.0,1.0,26.0,9.0,9.0,0,14,0,0,0,1,0,0,1,0,0,0,0
One-pan Roasted Veggie Salad Bowl,0.96,30.0,4,https://tasty.co/recipe/one-pan-roasted-veggie-salad-bowl,120.0,3.0,20.0,5.0,7.0,0,8,0,0,0,0,0,0,1,0,1,0,0
Mediterranean Flatbread,0.96,30.0,2,https://tasty.co/recipe/mediterranean-flatbread,732.0,14.0,127.0,15.0,12.0,1,9,0,0,0,1,0,0,1,0,1,1,1
Orange Soda,0.91,30.0,1,https://tasty.co/recipe/orange-soda,55.0,0.0,12.0,0.0,9.0,0,2,0,0,1,0,0,0,0,0,0,0,0
Watermelon Grill With Fruit Skewers,0.85,30.0,12,https://tasty.co/recipe/watermelon-grill-with-fruit-skewers,206.54,7.31,30.69,0.0,0.0,0,6,0,0,1,1,0,0,0,0,0,0,0
Avocado Cacao Smoothie,0.94,14.0,1,https://tasty.co/recipe/avocado-cacao-smoothie,591.0,29.0,78.0,16.0,24.0,0,8,0,0,1,0,0,0,0,0,0,0,0
Funfetti Mug Cake,0.75,30.0,1,https://tasty.co/recipe/funfetti-mug-cake,206.54,7.31,30.69,0.0,0.0,0,8,0,0,0,0,1,0,0,1,1,0,0
Sweet Potato And Chickpea Nuggets,0.88,30.0,6,https://tasty.co/recipe/sweet-potato-and-chickpea-nuggets,350.0,4.0,64.0,8.0,10.0,1,12,0,1,0,1,1,0,1,0,0,0,1
Sheet Pan Tofu 3 Ways,0.93,30.0,4,https://tasty.co/recipe/sheet-pan-tofu-3-ways,305.0,13.0,27.0,3.0,1.0,1,15,1,1,0,0,1,0,1,0,1,1,1
Cacao Chia Pudding,0.9,30.0,2,https://tasty.co/recipe/cacao-chia-pudding,188.0,12.0,17.0,5.0,8.0,1,9,0,0,1,0,0,1,0,1,0,0,0
Chocolate Coconut Winter Smoothie,0.84,30.0,1,https://tasty.co/recipe/chocolate-coconut-winter-smoothie,762.0,49.0,75.0,12.0,34.0,0,8,0,0,1,0,1,1,0,1,0,0,0
Vegan Peanut Butter Macarons,0.73,30.0,24,https://tasty.co/recipe/vegan-peanut-butter-macarons,86.0,4.0,11.0,1.0,9.0,0,7,0,0,0,0,0,0,0,1,0,0,0
Veggie-Packed Tomato Sauce,0.96,30.0,16,https://tasty.co/recipe/veggie-packed-tomato-sauce,56.0,0.0,10.0,3.0,4.0,0,13,0,0,0,1,0,0,1,0,1,0,0
Lavender London Fog,0.94,30.0,1,https://tasty.co/recipe/lavender-london-fog,142.0,5.0,16.0,0.0,16.0,0,7,0,0,0,0,0,0,1,1,0,0,0
Tex Mex Guacamole,0.98,30.0,8,https://tasty.co/recipe/tex-mex-guacamole,88.0,6.0,7.0,3.0,0.0,1,9,0,0,0,1,0,0,0,0,0,0,0
Green Machine Juice,0.88,30.0,1,https://tasty.co/recipe/green-machine-juice,397.0,4.0,81.0,17.0,20.0,0,6,0,0,1,1,0,0,1,0,0,0,0
Bunny-Shaped Apple Slices,0.87,30.0,6,https://tasty.co/recipe/bunny-shaped-apple-slices,206.54,7.31,30.69,0.0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0
Somali Bariis By Amal Dalmar,0.93,30.0,4,https://tasty.co/recipe/somali-bariis-as-made-by-amal-dalmar,745.0,18.0,132.0,6.0,14.0,0,26,0,0,1,1,1,0,1,0,1,0,0
Strawberry Sunrise Smoothie,0.91,30.0,1,https://tasty.co/recipe/strawberry-sunrise-smoothie,370.0,8.0,74.0,14.0,44.0,1,7,0,0,1,0,0,1,0,0,0,0,0
Peanut Butter Pumpkin “Fudge”,0.68,30.0,12,https://tasty.co/recipe/peanut-butter-pumpkin-fudge,341.0,30.0,12.0,4.0,5.0,0,7,0,0,0,0,0,0,1,1,1,0,0
Hummus And Carrot Sticks,0.95,30.0,6,https://tasty.co/recipe/hummus-and-carrot-sticks,173.0,4.0,27.0,8.0,7.0,1,7,0,0,0,1,0,0,1,0,1,0,0
Blueberry Chocolate Energy Bars,0.94,30.0,16,https://tasty.co/recipe/blueberry-chocolate-energy-bars,427.0,25.0,50.0,6.0,33.0,0,11,0,0,1,0,1,0,1,0,1,0,1
Vegan Tiramisu,0.88,35.0,9,https://tasty.co/recipe/vegan-tiramisu,530.0,35.0,46.0,2.0,27.0,1,25,0,1,0,0,1,1,0,1,1,0,0
Vegan French Toast,0.85,80.0,4,https://tasty.co/recipe/vegan-french-toast,777.0,56.0,59.0,12.0,70.0,1,10,0,0,1,0,0,1,1,1,1,0,1
Spinach Pasta,0.93,30.0,2,https://tasty.co/recipe/spinach-pasta,548.0,3.0,110.0,5.0,0.0,0,8,0,1,0,1,1,0,1,0,1,1,0
Roasted Rosemary Garlic Loaf,0.98,54.0,1,https://tasty.co/recipe/roasted-rosemary-garlic-loaf,1685.0,24.0,317.0,25.0,1.0,0,8,0,1,0,0,1,0,1,0,1,0,1
Eccentric Avocado Toast (Aquarius),0.88,30.0,1,https://tasty.co/recipe/eccentric-avocado-toast-aquarius,207.0,11.0,26.0,7.0,10.0,0,6,0,0,1,0,0,0,0,0,0,0,0
Seitan Roast,0.91,30.0,6,https://tasty.co/recipe/seitan-roast,216.0,2.0,11.0,2.0,0.0,0,13,1,1,0,1,0,0,1,0,1,1,0
Sheet Tray Taco Night,0.96,30.0,4,https://tasty.co/recipe/sheet-tray-taco-night,732.0,22.0,59.0,11.0,10.0,0,25,0,0,0,1,0,0,1,0,1,1,1
Cajun Spice Blend,0.98,30.0,8,https://tasty.co/recipe/cajun-spice-blend,206.54,7.31,30.69,0.0,0.0,0,8,0,0,0,1,0,0,1,0,0,0,0
Citrus And Winter Greens Salad,0.91,30.0,4,https://tasty.co/recipe/citrus-and-winter-greens-salad,247.0,7.0,43.0,8.0,29.0,1,17,0,0,1,0,0,0,1,0,1,1,0
Festive Stuffed Butternut Squash,0.92,30.0,6,https://tasty.co/recipe/festive-stuffed-butternut-squash,235.0,4.0,43.0,7.0,8.0,1,15,0,0,0,1,1,0,1,0,1,0,0
“Noocho” Cheese Dip,0.8,30.0,6,https://tasty.co/recipe/noocho-cheese-dip,98.0,3.0,14.0,2.0,1.0,0,9,0,0,0,1,0,0,1,0,1,0,0
Tofu Scramble Breakfast Burrito,0.95,30.0,4,https://tasty.co/recipe/tofu-scramble-breakfast-burrito,416.0,15.0,54.0,8.0,4.0,1,17,1,0,1,1,1,0,1,0,1,1,1
Almond Milk,0.89,30.0,4,https://tasty.co/recipe/almond-milk,387.0,30.0,21.0,6.0,12.0,0,5,0,0,0,0,0,0,0,0,0,0,0
Banana Bread Dip,0.81,30.0,4,https://tasty.co/recipe/banana-bread-dip,282.0,5.0,51.0,10.0,20.0,1,6,0,0,1,0,0,0,1,0,0,0,0
Raspberry Vanilla Nice Cream,0.92,30.0,6,https://tasty.co/recipe/raspberry-vanilla-nice-cream,77.0,0.0,19.0,2.0,9.0,0,4,0,0,1,0,0,1,0,0,0,0,0
Apple Fruit Rollers,0.73,30.0,12,https://tasty.co/recipe/apple-fruit-rollers,22.0,0.0,6.0,0.0,4.0,0,2,0,0,1,0,0,0,0,0,0,0,0
Falafel Sliders,0.92,30.0,12,https://tasty.co/recipe/falafel-sliders,316.0,11.0,44.0,6.0,5.0,1,25,0,1,0,1,1,0,1,0,1,0,0
Healthier Cookie Fruit Pizza,0.92,30.0,8,https://tasty.co/recipe/healthier-cookie-fruit-pizza,273.0,12.0,32.0,2.0,13.0,0,11,0,0,0,0,1,0,0,1,0,0,0
Holiday Spiced Cider,0.99,30.0,8,https://tasty.co/recipe/holiday-spiced-cider,280.0,0.0,69.0,2.0,61.0,0,9,0,0,1,0,0,0,1,1,0,0,0
Buffalo Popcorn,0.79,40.0,4,https://tasty.co/recipe/buffalo-popcorn,114.0,6.0,13.0,2.0,2.0,0,8,0,0,0,0,0,0,1,1,1,1,0
Coconut Lime Cauliflower Rice,0.82,30.0,2,https://tasty.co/recipe/coconut-lime-cauliflower-rice,251.0,12.0,32.0,14.0,14.0,0,6,0,0,0,0,0,1,1,0,1,0,0
Carrot Bacon,0.84,30.0,2,https://tasty.co/recipe/carrot-bacon,34.0,1.0,4.0,1.0,1.0,0,4,0,0,0,1,0,0,0,0,1,0,0
Homemade Croutons,0.95,30.0,10,https://tasty.co/recipe/homemade-croutons,206.54,7.31,30.69,0.0,0.0,0,5,0,0,0,0,0,0,1,0,1,0,1
Vegetarian Breakfast Apple Sausages,0.88,30.0,10,https://tasty.co/recipe/vegetarian-breakfast-apple-sausages,206.54,7.31,30.69,0.0,0.0,1,14,0,1,1,1,1,0,1,1,1,0,0
Lentil Nuggets,0.85,30.0,6,https://tasty.co/recipe/lentil-nuggets,280.0,12.0,25.0,4.0,2.0,1,10,0,0,0,1,0,0,1,0,0,0,0
Cashew Mac And Peas,0.81,30.0,4,https://tasty.co/recipe/cashew-mac-and-peas,633.0,6.0,117.0,7.0,11.0,0,11,0,0,0,1,0,0,1,0,0,0,0
Blueberry Mango Popsicles,0.92,30.0,6,https://tasty.co/recipe/blueberry-mango-popsicles,46.0,0.0,11.0,1.0,9.0,0,4,0,0,1,0,0,0,0,0,0,0,0
Tangy Tortilla Chips,0.9,65.0,4,https://tasty.co/recipe/tangy-tortilla-chips,189.0,5.0,32.0,4.0,0.0,0,4,0,0,0,0,0,0,0,0,1,0,1
Kiano's Potato Bhajias,0.93,30.0,10,https://tasty.co/recipe/kiano-s-potato-bhajias,79.0,1.0,15.0,1.0,1.0,0,11,0,0,0,1,1,0,1,0,0,0,0
Healthy Homemade Gazpacho,0.9,30.0,4,https://tasty.co/recipe/healthy-homemade-gazpacho,148.0,5.0,24.0,5.0,13.0,0,12,0,0,0,1,0,0,1,0,1,1,1
Tofu Scramble Breakfast Tacos,0.94,30.0,1,https://tasty.co/recipe/tofu-scramble-breakfast-tacos,480.0,18.0,60.0,8.0,4.0,1,12,1,1,0,1,0,0,1,0,1,1,1
4-Ingredient Holiday Truffles,0.85,30.0,40,https://tasty.co/recipe/4-ingredient-holiday-truffles,82.0,5.0,8.0,0.0,7.0,0,10,0,0,1,0,0,1,0,0,0,0,0
Guacamole Onion Rings,0.81,30.0,20,https://tasty.co/recipe/guacamole-onion-rings,95.0,4.0,12.0,2.0,1.0,0,12,0,0,0,1,1,0,1,0,0,0,1
Maple Cinnamon Roasted Chickpeas,0.7,30.0,4,https://tasty.co/recipe/maple-cinnamon-roasted-chickpeas,204.0,3.0,34.0,9.0,9.0,1,5,0,0,0,0,0,0,1,1,1,0,0
Lebanese Batata Maqlieh,0.9,30.0,4,https://tasty.co/recipe/lebanese-batata-maqlieh,272.0,18.0,25.0,2.0,1.0,0,6,0,0,0,0,0,0,1,0,1,0,0
No-Bake Granola Berry Pie,0.89,30.0,6,https://tasty.co/recipe/no-bake-granola-berry-pie,847.0,52.0,80.0,11.0,39.0,0,11,0,0,1,0,0,0,0,1,1,0,1
Easy-As-Pie Antioxidant Wellness Shot,0.89,30.0,4,https://tasty.co/recipe/easy-as-pie-antioxidant-wellness-shot,23.0,0.0,4.0,0.0,3.0,0,5,0,0,1,0,0,0,1,0,0,1,0
Immunity Boosting Green Soup,0.87,30.0,8,https://tasty.co/recipe/immunity-boosting-green-soup,143.0,6.0,21.0,7.0,5.0,0,18,1,0,0,1,0,0,1,0,1,1,0
Arugula Pesto,0.91,30.0,6,https://tasty.co/recipe/arugula-pesto,75.0,7.0,1.0,0.0,0.0,1,7,0,0,0,0,0,0,1,0,1,0,0
Chocolate Brownie Dip,0.7,30.0,4,https://tasty.co/recipe/chocolate-brownie-dip,239.0,4.0,41.0,8.0,17.0,1,6,0,0,0,0,0,0,0,1,0,0,0
Cool Ranch Chips,0.8,30.0,2,https://tasty.co/recipe/cool-ranch-chips,206.54,7.31,30.69,0.0,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0
Easy Low-Flour Cast Iron Focaccia Bread,0.95,91.0,4,https://tasty.co/recipe/easy-low-flour-cast-iron-focaccia-bread,194.0,5.0,30.0,1.0,0.0,0,9,0,0,0,0,1,0,1,0,1,1,0
Classic French Fries,0.91,40.0,1,https://tasty.co/recipe/classic-french-fries,263.0,3.0,54.0,4.0,2.0,0,4,0,0,0,0,0,0,0,0,1,0,0
Vegan Egg,0.24,55.0,12,https://tasty.co/recipe/vegan-egg,40.0,1.0,4.0,0.0,0.0,1,14,1,0,0,0,1,1,0,0,1,0,0
Green Goddess Smoothie,0.86,30.0,1,https://tasty.co/recipe/green-goddess-smoothie,610.0,10.0,164.0,15.0,44.0,1,6,0,0,1,0,0,1,0,0,0,0,0
Dairy-Free Chocolate Coconut Espresso Panna Cotta,0.9,30.0,4,https://tasty.co/recipe/dairy-free-chocolate-coconut-espresso-panna-cotta,520.0,50.0,21.0,0.0,71.0,1,9,0,0,0,0,0,0,0,1,1,0,0
Vegan Ranch Dip,0.95,30.0,6,https://tasty.co/recipe/vegan-ranch-dip,241.0,23.0,1.0,0.0,0.0,0,11,0,0,1,1,0,0,1,0,0,1,0
Sweet Potato Breakfast Bars,0.87,30.0,9,https://tasty.co/recipe/sweet-potato-breakfast-bars,255.0,10.0,35.0,5.0,8.0,0,9,0,0,0,0,1,0,1,1,0,0,0
Chocolate Peanut Butter Frozen Banana,0.86,30.0,20,https://tasty.co/recipe/chocolate-peanut-butter-frozen-banana-1,70.0,5.0,5.0,0.0,3.0,0,4,0,0,1,0,0,0,0,0,0,0,0
Decadent Dairy-Free Carrot Cake,0.87,30.0,10,https://tasty.co/recipe/decadent-dairy-free-carrot-cake,1051.0,61.0,117.0,6.0,63.0,1,27,0,1,1,1,1,1,1,1,1,1,0
Crispy Pan-Fried Breakfast Potatoes,0.98,30.0,2,https://tasty.co/recipe/crispy-pan-fried-breakfast-potatoes,174.0,5.0,28.0,2.0,1.0,0,10,0,0,0,1,0,0,1,1,1,0,0
Oatmeal Raisin Energy Balls,0.96,30.0,12,https://tasty.co/recipe/oatmeal-raisin-energy-balls,194.0,7.0,30.0,4.0,16.0,0,8,0,0,0,0,1,0,1,0,0,0,0
Shiitake Mushroom Bacon,0.96,30.0,2,https://tasty.co/recipe/shiitake-mushroom-bacon,64.0,5.0,2.0,1.0,1.0,0,5,1,0,0,1,0,0,0,0,1,1,0
Barbeque Sauce,0.93,30.0,1,https://tasty.co/recipe/barbeque-sauce,362.0,1.0,87.0,3.0,78.0,0,9,0,0,1,0,0,0,1,1,0,1,0
